,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
59,Chelsea,18237,3,3,30,break,Chelsea,0.047598111,True,True,1.509090909090909,2,3,2.1818181818181817,Ashley Cole,0.2884962006207772,0.5181818181818182,0.5708575035148299
60,Barcelona,18236,0,1,26,game start,,0.532367383,True,True,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.2916721976246132,0.6727272727272727,0.7261165440473603
61,Barcelona,18236,1,1,18,goal,Manchester United,0.47364745599999997,True,True,1.5,2,3,2.5454545454545454,Daniel Alves da Silva,0.27892431104330473,0.5545454545454546,0.6680721974824857
62,Barcelona,18236,2,2,22,break,Barcelona,0.708008084,True,True,1.518181818181818,2,3,2.3636363636363638,Andrés Iniesta Luján,0.28408012072952094,0.5272727272727272,0.641980922418539
63,Barcelona,18236,3,2,25,sub,Manchester United,0.118840473,True,True,1.7142857142857142,2,4,2.7142857142857144,Andrés Iniesta Luján,0.2508652342519521,0.4175824175824176,0.5063831047907347
64,Manchester United,18236,0,1,26,game start,,0.04244132,True,True,1.4727272727272727,2,3,2.090909090909091,Edwin van der Sar,0.29030841246060807,0.5363636363636364,0.5488062687403565
65,Manchester United,18236,1,1,19,goal,Manchester United,0.29245424,True,False,1.9181818181818182,Error,Error,Error,Error,0.24907791092399967,0.2818181818181818,0.33652944609882407
66,Manchester United,18236,2,2,23,break,Barcelona,0.0,True,True,2.081818181818182,2,5,3.727272727272727,Edwin van der Sar,0.2524734768165353,0.3,0.4268322832209042
67,Manchester United,18236,3,2,25,sub,Manchester United,0.10248668799999999,True,True,1.5227272727272727,2,3,2.1666666666666665,Edwin van der Sar,0.27914769117681965,0.49242424242424243,0.5196509134271214
68,Bayern Munich,18235,0,1,45,game start,,0.4304467919999999,True,True,1.3727272727272728,1,3,2,Bastian Schweinsteiger,0.2974115240638283,0.6454545454545455,0.6828251795430468
69,Bayern Munich,18235,1,2,17,break,Inter Milan,0.41900425700000005,True,True,1.7636363636363637,2,4,3,Daniel Van Buyten,0.26316521387362724,0.42727272727272725,0.6683535316588843
70,Bayern Munich,18235,2,2,31,sub,Bayern Munich,0.474594871,True,True,1.690909090909091,2,4,3,Daniel Van Buyten,0.27510494767705074,0.4636363636363636,0.633700744453595
71,Inter Milan,18235,0,1,46,game start,,0.723685665,True,True,1.5272727272727273,2,3,2.3636363636363638,Cristian Eugen Chivu,0.2765249121575499,0.509090909090909,0.5457121804587243
72,Inter Milan,18235,1,2,16,break,Inter Milan,0.191472039,True,True,2.2454545454545456,3,4,3.727272727272727,Cristian Eugen Chivu,0.2645004813734819,0.24545454545454545,0.2250736105999264
73,Inter Milan,18235,2,2,31,sub,Bayern Munich,0.25304130199999997,True,False,1.4230769230769231,Error,Error,Error,Error,0.2066912538182318,0.21794871794871795,0.4087484604508564
74,Barcelona,3750201,0,1,46,game start,,0.186639832,True,True,1.3272727272727274,2,3,2.090909090909091,Andrés Iniesta Luján,0.29374045587818254,0.6818181818181818,0.7633023020043256
75,Barcelona,3750201,1,2,20,break,Barcelona,0.307922275,True,True,1.518181818181818,2,3,2.272727272727273,Andrés Iniesta Luján,0.28678430471096467,0.5272727272727272,0.6559596358841835
76,Barcelona,3750201,2,2,27,sub,Manchester United,0.796873438,True,True,1.6,2,3,2.272727272727273,Andrés Iniesta Luján,0.2809907214696539,0.45454545454545453,0.560797699121174
77,Manchester United,3750201,0,1,45,game start,,0.41044105799999997,True,True,1.3818181818181818,1,3,2.090909090909091,Nemanja Vidić,0.2945488735254027,0.6363636363636364,0.6824299599803635
78,Manchester United,3750201,1,2,20,break,Barcelona,0.0,True,True,1.5545454545454545,2,4,2.3636363636363638,Carlos Alberto Tevez,0.2801798927095663,0.509090909090909,0.5376322985579536
79,Manchester United,3750201,2,2,28,sub,Manchester United,0.621461286,True,True,1.5757575757575757,2,3,2.3333333333333335,Michael Carrick,0.27635492568400094,0.48484848484848486,0.5136307001009177
80,AC Milan,3750200,0,1,46,game start,,0.36607321600000003,True,True,1.4454545454545455,2,3,2.272727272727273,Alessandro Nesta,0.2835342344361654,0.5909090909090909,0.6464609353552602
81,AC Milan,3750200,1,2,47,break,AC Milan,0.49064317700000004,True,True,1.5897435897435896,2,3,2.6923076923076925,Andrea Pirlo,0.2508280739459972,0.4807692307692308,0.6406640802671032
82,Liverpool,3750200,0,1,45,game start,,0.29256782,True,True,1.5545454545454545,2,3,2.4545454545454546,Boudewijn Zenden,0.2714269429142801,0.5272727272727272,0.5608165362984381
83,Liverpool,3750200,1,2,47,break,AC Milan,0.6657027645,True,True,1.5769230769230769,2,3,2.357142857142857,Daniel Munthe Agger,0.25661241041554866,0.489010989010989,0.5537892784193341
84,AC Milan,2302764,0,1,22,game start,,0.199345688,True,True,1.6222222222222222,2,3,2.3,Alessandro Nesta,0.3000926324556548,0.45555555555555555,0.5828712685101747
85,AC Milan,2302764,1,1,23,sub,Liverpool,1.0532538900000001,True,True,1.5727272727272728,2,3,2.272727272727273,Alessandro Nesta,0.29037323540411936,0.4818181818181818,0.6216622899276563
86,AC Milan,2302764,2,2,45,break,Liverpool,1.057847663,True,False,1.4166666666666667,Error,Error,Error,Error,0.2471489035483217,0.46153846153846156,0.7541797914834554
87,AC Milan,2302764,3,3,15,break,Liverpool,0.082578052,True,True,1.7272727272727273,2,4,2.909090909090909,Alessandro Nesta,0.27629301591125843,0.4,0.523216506130068
