,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
102,Aston Villa,3775648,0,1,45,0.037459332,Error,Error,1.6222222222222222,2,3,2.5,Chloe Arthur,0.2956485226318648,0.4666666666666667,0.530952380952381
103,Aston Villa,3775648,1,2,21,0.088589374,Error,Error,1.5454545454545454,2,3,2.272727272727273,Anita Amma Ankyewah Asante,0.2837026186158122,0.4909090909090909,0.6123376623376623
104,Aston Villa,3775648,2,2,27,0.246857653,Error,Error,1.6818181818181819,2,3,2.5833333333333335,Anita Amma Ankyewah Asante,0.2719289358598179,0.4090909090909091,0.4055555555555555
105,Arsenal WFC,3775648,0,1,45,0.69150461,Error,Error,1.1818181818181819,1,2,1.9090909090909092,Leah Williamson,0.2930497480671604,0.8181818181818182,0.9246031746031746
106,Arsenal WFC,3775648,1,2,21,1.541094193,Error,Error,1.2363636363636363,2,2,2,Bethany Mead,0.29499052952217497,0.7636363636363637,0.8349206349206348
107,Arsenal WFC,3775648,2,2,26,0.8967126480000001,Error,Error,1.6,2,4,2.8125,Bethany Mead,0.23254018490446354,0.5,0.6549669080919082
108,Arsenal WFC,3775609,0,1,45,1.4125718900000002,Error,Error,1.1090909090909091,1,2,1.7272727272727273,Kim Little,0.30067080962673143,0.8909090909090909,0.8857142857142858
109,Arsenal WFC,3775609,1,2,26,0.710167542,Error,Error,1.2,1,2,1.8181818181818181,Lia Wälti,0.29907947956914566,0.8,0.8232323232323232
110,Arsenal WFC,3775609,2,2,22,0.578417174,Error,Error,1.358974358974359,2,3,2.1538461538461537,Anna Patten,0.27074332911791205,0.6538461538461539,0.6889499389499391
111,West Ham United LFC,3775609,0,1,46,0.155246702,Error,Error,1.290909090909091,1,2,1.8181818181818181,Dagný Brynjarsdóttir,0.29582975658195837,0.7090909090909091,0.8062770562770563
112,West Ham United LFC,3775609,1,2,26,0.016119216,Error,Error,1.3555555555555556,2,2,2,Cecilie Redisch Kvamme,0.3117241871111613,0.6444444444444445,0.6661904761904761
113,West Ham United LFC,3775609,2,2,21,0.122365699,Error,Error,1.509090909090909,2,3,2.3636363636363638,Gilly Louise Scarlett Flaherty,0.28939514015109036,0.5272727272727272,0.5406926406926407
114,Aston Villa,3775633,0,1,48,0.129877059,Error,Error,1.4545454545454546,2,2,2,Anita Amma Ankyewah Asante,0.291720581956557,0.5454545454545454,0.5813852813852814
115,Aston Villa,3775633,1,2,37,0.091935694,Error,Error,1.5272727272727273,2,3,2.3636363636363638,Mana Iwabuchi,0.2816952808887579,0.5272727272727272,0.6413419913419913
116,Aston Villa,3775633,2,2,19,0.0,Error,Error,1.8214285714285714,2,3,2.75,Stine Larsen,0.3318211240059928,0.35714285714285715,0.16666666666666669
117,Tottenham Hotspur Women,3775633,0,1,45,0.242142035,Error,Error,1.1818181818181819,1,2,1.8181818181818181,Kerys Harrop,0.2983482724685609,0.8181818181818182,0.8669552669552668
118,Tottenham Hotspur Women,3775633,1,2,36,0.065732602,Error,Error,1.2727272727272727,1,2,1.9166666666666667,Abbie McManus,0.28390393880792586,0.7272727272727273,0.7907828282828282
119,Tottenham Hotspur Women,3775633,2,2,19,0.213798475,Error,Error,1.2727272727272727,1,2,1.9090909090909092,Abbie McManus,0.2973142043452655,0.7272727272727273,0.7598124098124099
120,Brighton & Hove Albion WFC,3775570,0,1,21,0.013761683,Error,Error,1.4727272727272727,2,2,2,Aileen Whelan,0.2959440574456953,0.5272727272727272,0.4857142857142857
121,Brighton & Hove Albion WFC,3775570,1,1,24,0.0,Error,Error,1.4363636363636363,2,3,2.1818181818181817,Aileen Whelan,0.29008261737570973,0.5818181818181818,0.7045454545454546
122,Brighton & Hove Albion WFC,3775570,2,2,17,0.020038933,Error,Error,1.6363636363636365,2,3,2.4545454545454546,Danique Kerkdijk,0.2857654240942498,0.43636363636363634,0.5333333333333333
123,Brighton & Hove Albion WFC,3775570,3,2,30,0.537503274,Error,Error,1.5454545454545454,2,3,2.25,Aileen Whelan,0.2736341362382508,0.48484848484848486,0.48392857142857143
124,Everton LFC,3775570,0,1,23,0.973912707,Error,Error,1.4181818181818182,2,2,2,Abbey-Leigh Stringer,0.2965488386427519,0.5818181818181818,0.5443722943722944
125,Everton LFC,3775570,1,1,22,0.548537304,Error,Error,1.309090909090909,2,2,2,Abbey-Leigh Stringer,0.29821650212711753,0.6909090909090909,0.6641414141414141
126,Everton LFC,3775570,2,2,18,1.13380413,Error,Error,1.3454545454545455,2,3,2.1818181818181817,Abbey-Leigh Stringer,0.2949727584900151,0.6727272727272727,0.7260461760461762
127,Everton LFC,3775570,3,2,29,0.910878671,Error,Error,1.3974358974358974,1,2,1.9230769230769231,Isobel Mary Christiansen,0.2677188057377767,0.6025641025641025,0.7294372294372293
128,Chelsea FCW,3775581,0,1,23,0.8641658379999999,Error,Error,1.3272727272727274,1,2,1.9090909090909092,So-Yun Ji,0.2948020609293989,0.6727272727272727,0.70007215007215
