,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
91,Borussia Dortmund,18240,4,3,Error,Error,1.9761904761904763,Error,Error,Error,Error,0.34270818596686875,0.2619047619047619,0.09404761904761905
92,Bayern Munich,18240,0,44,Error,Error,1.2818181818181817,1,2,1.8181818181818181,Bastian Schweinsteiger,0.29798747270826575,0.7181818181818181,0.7347329584538866
93,Bayern Munich,18240,1,14,Error,Error,1.709090909090909,2,3,2.4545454545454546,Arjen Robben,0.2924799086579121,0.4090909090909091,0.34789801966989914
94,Bayern Munich,18240,2,5,Error,Error,1.8392857142857142,Error,Error,Error,Error,0.3249352119178415,0.19642857142857142,0
95,Bayern Munich,18240,3,20,Error,Error,1.490909090909091,Error,Error,Error,Error,0.252188403666202,0.41818181818181815,0.46275098702890743
96,Bayern Munich,18240,4,2,Error,Error,Error,Error,Error,Error,Error,Error,0.0,Error
97,Bayern Munich,18237,0,45,Error,Error,1.2727272727272727,1,2,1.9090909090909092,Bastian Schweinsteiger,0.2970333743566887,0.7272727272727273,0.7779915178424126
98,Bayern Munich,18237,1,26,Error,Error,1.5,1,2,1.9090909090909092,Bastian Schweinsteiger,0.2772332701037051,0.5,0.7152332479050882
99,Bayern Munich,18237,2,8,Error,Error,1.4027777777777777,Error,Error,Error,Error,0.24945458667338308,0.3472222222222222,0.46587233228060104
100,Bayern Munich,18237,3,8,Error,Error,2.172727272727273,Error,Error,Error,Error,0.2520559803540806,0.19090909090909092,0.18013468013468012
101,Bayern Munich,18237,4,5,Error,Error,1.7142857142857142,Error,Error,Error,Error,0.3383808897735749,0.30952380952380953,0.26904761904761904
102,Bayern Munich,18237,5,9,Error,Error,1.8636363636363635,2,3,2.727272727272727,Philipp Lahm,0.2689593136398949,0.32727272727272727,0.34716828895298685
103,Bayern Munich,18237,6,15,Error,Error,1.4222222222222223,Error,Error,Error,Error,0.28434154762063685,0.4222222222222222,0.5131985250675952
104,Chelsea,18237,0,45,Error,Error,1.3545454545454545,2,2,2,Ashley Cole,0.29714244727778755,0.6454545454545455,0.6939125925502084
105,Chelsea,18237,1,27,Error,Error,1.4363636363636363,2,3,2.090909090909091,Ashley Cole,0.29177278830390185,0.5727272727272728,0.60670953070952
106,Chelsea,18237,2,7,Error,Error,2.0555555555555554,2,4,3.1,John Michael Nchekwube Obinna,0.29084117236881435,0.28888888888888886,0.45120968462431876
107,Chelsea,18237,3,9,Error,Error,2.2777777777777777,3,5,4,Didier Yves Drogba Tébily,0.2730857490410613,0.2777777777777778,0.2645976051239209
108,Chelsea,18237,4,1,Error,Error,1.988888888888889,2,4,3,Frank Lampard,0.2854179857638914,0.2777777777777778,0.5751657369229526
109,Chelsea,18237,5,7,Error,Error,1.875,2,4,2.888888888888889,Frank Lampard,0.3136829442318122,0.3472222222222222,0.33160758994092326
110,Chelsea,18237,6,14,Error,Error,2.1454545454545455,3,5,3.8181818181818183,Gary Cahill,0.2781073729553262,0.2727272727272727,0.2600823153454732
111,Barcelona,18236,0,26,Error,Error,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.2916721976246132,0.6727272727272727,0.7261165440473603
112,Barcelona,18236,1,5,Error,Error,2.0,2,4,3,Gerard Piqué Bernabéu,0.2651825839469878,0.3,0.44758480180495586
113,Barcelona,18236,2,8,Error,Error,1.509090909090909,Error,Error,Error,Error,0.25710455231882196,0.4,0.6166591160777207
114,Barcelona,18236,3,8,Error,Error,1.7272727272727273,2,3,2.8181818181818183,Lionel Andrés Messi Cuccittini,0.27214772418822314,0.39090909090909093,0.508431415066162
115,Barcelona,18236,4,13,Error,Error,1.790909090909091,2,4,2.909090909090909,Andrés Iniesta Luján,0.2836747035834795,0.4,0.4818560606060606
116,Barcelona,18236,5,8,Error,Error,1.3222222222222222,Error,Error,Error,Error,0.27294519146038354,0.3888888888888889,0.45830688901741534
117,Barcelona,18236,6,8,Error,Error,1.8,2,4,3.090909090909091,Sergio Busquets i Burgos,0.27842146567277626,0.4,0.46679472339900147
118,Barcelona,18236,7,7,Error,Error,2.3636363636363638,2,5,3.6363636363636362,Andrés Iniesta Luján,0.2878498001422306,0.22727272727272727,0.18963711726869623
119,Manchester United,18236,0,26,Error,Error,1.4727272727272727,2,3,2.090909090909091,Edwin van der Sar,0.29030841246060807,0.5363636363636364,0.5488062687403565
120,Manchester United,18236,1,6,Error,Error,1.6428571428571428,Error,Error,Error,Error,0.27351538342060255,0.23214285714285715,0.21451023391812865
121,Manchester United,18236,2,10,Error,Error,2.361111111111111,2,6,4,Nemanja Vidić,0.2988615609078958,0.2777777777777778,0.2291751458418125
122,Manchester United,18236,3,5,Error,Error,2.3666666666666667,3,5,3.8333333333333335,Ji-Sung Park,0.3630203041686494,0.3,0.19444444444444445
